id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,Op2T0AWX
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,mvpZmKkz
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,ThXhaed6
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,wpvIgYwk
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,u4reBCjU
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,sP8dITfI
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,131KH7Zy
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,82ryE2cV
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,tdQqC4mj
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,r1Jykhu9
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,rRYmBHeh
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,Tn55WHJX
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,H4LgSbZp
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,Fui4Tpvf
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,3yX5Zb5u
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,CTec4Gl2
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,QCxvHbXM
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,hFKTiWxp
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,kOHzfFSu
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,wohVReDS
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,JQTPk8DL
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,zaAjAXcD
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,RzCQ7vV2
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,qvYMIdyy
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,pBQGXRv5
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,mJ7FcCof
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,MTZ6FOEj
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,jkdzEQAV
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,CewQXj1i
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,so5TrWCV
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,3f1U23YF
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,uUzBKwWT
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,BKp2sq3O
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,SXGkOkiC
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,kblepuff
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,M2xd8WOp
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,FAL8KH5J
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,2wtsUhSL
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,XkwbClUq
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,xSETntAL
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,SU7Cv2PT
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,alPqVlhg
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,IgsBHfGL
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,8YsEOZXt
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,f2NodUvM
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,I2YDm96J
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,VE6BVt9E
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,Tt4x3lOv
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,fujBp3C3
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,1YEJAvMn
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,DFrnMttN
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,xULI0KzU
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,wotg91qA
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,d01hgeZI
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,NWqRX6yJ
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,hTWIN0kL
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,YjV1imlN
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,0fsVRiIT
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,VmzTYieb
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,Ygd3Icqb
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,2fEjQJ11
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,9ICv14OI
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,BJ2Kv3ow
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,a9BmP7fP
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,E4KxbjgQ
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,hgglMOBo
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,7kS9PpiZ
67,Остюков Артур Романович,329,11и,3,Остюков_АР,6XH97FNw
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,Q97ZFZmM
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,ldyjLCQK
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,91GxGknm
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,bxHPEYSF
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,YKY0UImp
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,uDfZuNXW
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,uKlmi8mn
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,Awi5Z0MZ
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,sLgemrvB
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,9AFmUWdl
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,WtIVUAIp
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,RShcBZR0
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,tyEzjocO
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,ns6bENED
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,uCgd69HG
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,fzXwJbo1
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,prYYU47o
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,mXN5GaLk
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,PnhxTjq5
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,kDSDUz8Q
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,oUxFU8iR
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,NGhw4YjS
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,tJGaZ2ku
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,goMsF6BX
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,Au5Pn4TK
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,6plGFEBf
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,EREN8XKn
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,Cpyhxziy
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,s7IyjUQU
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,m6WNDe74
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,Wl0hKSiP
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,4D0qZKkG
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,Gu2n4nWo
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,QYM0xpUT
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,rQ87sDYa
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,L8sd4F6t
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,R8B5jvj5
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,qxHqoHNh
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,VbkfAwqA
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,cPcHz5yz
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,T3vktlYD
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,FJTkdeBJ
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,1Cvi3QxS
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,y5do6krq
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,o8zChEqZ
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,c2aDEAEX
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,m1A1okkJ
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,Kju5lNgQ
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,cWehOe4V
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,Aw4Wre47
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,CLAX0aZ5
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,ZZbaSVBb
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,zdS9gBbn
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,2B8BeKVy
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,Q5FCfSRa
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,f8JTAh5Y
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,OU6QoH6e
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,6biLUIPD
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,NwvkElmD
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,xaScMuQp
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,UZmopSJ3
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,tGsTCqrC
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,vs0hPE6L
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,fCzCBU6L
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,4jIQQLsa
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,T5agzrvR
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,KVYxRJhi
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,TXCWlLcK
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,V1RmBPNS
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,F9H79CyO
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,CN77ifpr
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,yCxL5K9n
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,e8iTpf3m
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,xwGq0Iox
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,LtND25SG
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,iM7lrc2M
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,gLcd6xYb
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,dbcY2UtU
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,1VJ3BzYm
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,vJIqbv9R
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,5oVuYBgh
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,ngYmx16w
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,AmkjbMDM
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,6YJT4ffQ
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,AOBEh3PS
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,00wlpDK6
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,3lQWR1kQ
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,PSuEQW5x
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,CXu1gFNY
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,55rqXBQd
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,MpfFihUY
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,OXtHhCO9
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,Pejqov5y
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,HIqFx21f
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,yu2c4cfH
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,HISqCDqA
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,u4p5lOlD
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,vIWMmHo1
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,9vXtIXwi
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,OBCo31MH
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,dcnZMstj
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,uoHSOghn
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,hlQlafZ5
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,qeJxNqmS
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,vPZCRUel
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,YQ7Oxy2d
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,CuR78Pwq
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,LXFSLkSQ
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,lLhLfVdt
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,2u1SBYmJ
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,xPD6tBv1
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,TgdrDBEU
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,TxlnQRaF
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,VynWUpu4
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,GeEUxWd9
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,agawyNHD
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,JOSYGh2c
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,9T2A8dYZ
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,MPwWtHEW
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,pjy9PAZK
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,ZM7xQrA8
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,2ZGiaEYw
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,YgVFliEa
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,onqHtnz5
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,3g944pmA
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,uaulvsNx
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,npKdIiJe
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,0L27gqf6
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,y7tsYQ4r
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,JYvUjEqC
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,2YzIrG2z
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,HITBosNb
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,aNB9K0ak
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,gh8rJGf3
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,3cVe42Pu
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,3Bvu7uKA
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,Ayo9NLLn
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,howMnc6l
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,otKbdj5J
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,emC3n6Aw
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,6v3znTXZ
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,QB4yboxj
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,XKSnuyfo
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,taFJGzqO
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,uR9x2og9
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,4ukgRhvD
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,xI5HCsgu
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,e8oLcowO
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,qFDD1WrP
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,c34exaur
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,etVqtMjJ
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,bHldtE5R
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,lf8tTXqI
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,3j1bGVAc
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,MldRKoqv
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,wNBKFj96
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,V4wQ7eXK
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,QeELXd2t
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,QwbDr9kb
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,j1uTZs5E
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,Dm022qzb
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,ZXIawwKO
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,0V2GqoSU
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,9WzSTxKb
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,bkJPt7YV
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,VOiuoDXL
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,S4IdHCcu
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,70GHDQfZ
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,9yHDbtkK
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,8buOJAk0
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,8cRebeUe
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,OBgryPn5
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,OfuTy2zG
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,cIPL9GLo
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,brTLfB0N
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,svgNBP6q
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,q6NimEpN
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,UO0q8yz8
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,npcPq3Kb
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,UdjYbN4I
